月次決算チェックリスト,,
,,
対象月,年    月,
作成者,,
,,
チェック項目,完了,備考
,,
■ 取引入力,,
銀行連携で取引を取り込み勘定科目を確認した,□,
現金取引（レジ売上など）を手入力した,□,
経費のレシートをすべて入力した,□,
売掛金・買掛金を確認した,□,
,,
■ 月末調整,,
在庫の棚卸を行った,□,
未払金を確認・計上した,□,
減価償却費を計上した,□,
現金実査を行った（帳簿残高と実際の現金を照合）,□,
銀行残高を確認した（通帳残高と帳簿残高を照合）,□,
,,
■ 財務諸表作成,,
損益計算書（P/L）を作成した,□,
貸借対照表（B/S）を作成した,□,
キャッシュフロー計算書（C/F）を作成した,□,
B/Sのバランスが取れているか確認した,□,
C/Fの期末残高とB/Sの現金預金が一致しているか確認した,□,
,,
■ 分析,,
粗利率を確認した（目安：30-70%）,□,
営業利益率を確認した（目安：5-10%以上）,□,
自己資本比率を確認した（目安：30%以上）,□,
流動比率を確認した（目安：100%以上）,□,
営業CFがプラスか確認した,□,
,,
■ 前月・予算との比較,,
前月比で売上・利益を比較した,□,
予算vs実績を比較した,□,
前年同月比を確認した,□,
,,
■ 改善策,,
問題点を洗い出した,□,
改善策を検討した,□,
改善策を次月の行動計画に反映した,□,
,,
,,
完了日,年    月    日,
確認者,,
